DATE,TICKER,rate,CPct_Chg
1955-02-04,DTB3,1.08,4.2857142857142856e-05
1955-02-07,DTB3,1.04,4.1269841269841266e-05
1955-02-08,DTB3,1.03,4.0873015873015874e-05
1955-02-09,DTB3,1.07,4.2460317460317464e-05
1955-02-10,DTB3,1.07,4.2460317460317464e-05
1955-02-11,DTB3,1.06,4.2063492063492065e-05
1955-02-14,DTB3,1.1,4.3650793650793655e-05
1955-02-15,DTB3,1.1,4.3650793650793655e-05
1955-02-16,DTB3,1.17,4.642857142857142e-05
1955-02-17,DTB3,1.2,4.761904761904762e-05
1955-02-18,DTB3,1.23,4.880952380952381e-05
1955-02-21,DTB3,1.3,5.158730158730159e-05
1955-02-22,DTB3,,
1955-02-23,DTB3,1.35,5.3571428571428575e-05
1955-02-24,DTB3,1.37,5.436507936507937e-05
1955-02-25,DTB3,1.37,5.436507936507937e-05
1955-02-28,DTB3,1.37,5.436507936507937e-05
1955-03-01,DTB3,1.36,5.3968253968253975e-05
1955-03-02,DTB3,1.33,5.2777777777777784e-05
1955-03-03,DTB3,1.24,4.9206349206349204e-05
1955-03-04,DTB3,1.17,4.642857142857142e-05
1955-03-07,DTB3,1.2,4.761904761904762e-05
1955-03-08,DTB3,1.19,4.722222222222222e-05
1955-03-09,DTB3,1.25,4.96031746031746e-05
1955-03-10,DTB3,1.27,5.0396825396825395e-05
1955-03-11,DTB3,1.24,4.9206349206349204e-05
1955-03-14,DTB3,1.25,4.96031746031746e-05
1955-03-15,DTB3,1.23,4.880952380952381e-05
1955-03-16,DTB3,1.26,5e-05
1955-03-17,DTB3,1.28,5.0793650793650794e-05
1955-03-18,DTB3,1.3,5.158730158730159e-05
1955-03-21,DTB3,1.32,5.238095238095238e-05
1955-03-22,DTB3,1.27,5.0396825396825395e-05
1955-03-23,DTB3,1.31,5.1984126984126985e-05
1955-03-24,DTB3,1.31,5.1984126984126985e-05
1955-03-25,DTB3,1.29,5.1190476190476193e-05
1955-03-28,DTB3,1.32,5.238095238095238e-05
1955-03-29,DTB3,1.33,5.2777777777777784e-05
1955-03-30,DTB3,1.4,5.555555555555555e-05
1955-03-31,DTB3,1.41,5.595238095238095e-05
1955-04-01,DTB3,1.4,5.555555555555555e-05
1955-04-04,DTB3,1.43,5.674603174603175e-05
1955-04-05,DTB3,1.46,5.793650793650794e-05
1955-04-06,DTB3,1.52,6.0317460317460316e-05
1955-04-07,DTB3,1.55,6.150793650793651e-05
1955-04-08,DTB3,1.55,6.150793650793651e-05
1955-04-11,DTB3,1.63,6.468253968253968e-05
1955-04-12,DTB3,1.62,6.42857142857143e-05
1955-04-13,DTB3,1.65,6.547619047619048e-05
1955-04-14,DTB3,1.62,6.42857142857143e-05
1955-04-15,DTB3,1.62,6.42857142857143e-05
1955-04-18,DTB3,1.64,6.507936507936507e-05
1955-04-19,DTB3,1.64,6.507936507936507e-05
1955-04-20,DTB3,1.65,6.547619047619048e-05
1955-04-21,DTB3,1.65,6.547619047619048e-05
1955-04-22,DTB3,1.65,6.547619047619048e-05
1955-04-25,DTB3,1.66,6.587301587301587e-05
1955-04-26,DTB3,1.62,6.42857142857143e-05
1955-04-27,DTB3,1.62,6.42857142857143e-05
1955-04-28,DTB3,1.63,6.468253968253968e-05
1955-04-29,DTB3,1.59,6.30952380952381e-05
1955-05-02,DTB3,1.61,6.388888888888888e-05
1955-05-03,DTB3,1.59,6.30952380952381e-05
1955-05-04,DTB3,1.54,6.111111111111111e-05
1955-05-05,DTB3,1.49,5.9126984126984124e-05
1955-05-06,DTB3,1.51,5.992063492063492e-05
1955-05-09,DTB3,1.44,5.714285714285714e-05
1955-05-10,DTB3,1.39,5.515873015873015e-05
1955-05-11,DTB3,1.42,5.634920634920634e-05
1955-05-12,DTB3,1.44,5.714285714285714e-05
1955-05-13,DTB3,1.43,5.674603174603175e-05
1955-05-16,DTB3,1.41,5.595238095238095e-05
1955-05-17,DTB3,1.39,5.515873015873015e-05
1955-05-18,DTB3,1.41,5.595238095238095e-05
1955-05-19,DTB3,1.44,5.714285714285714e-05
1955-05-20,DTB3,1.42,5.634920634920634e-05
1955-05-23,DTB3,1.43,5.674603174603175e-05
1955-05-24,DTB3,1.44,5.714285714285714e-05
1955-05-25,DTB3,1.47,5.833333333333333e-05
1955-05-26,DTB3,1.43,5.674603174603175e-05
1955-05-27,DTB3,1.41,5.595238095238095e-05
1955-05-30,DTB3,,
1955-05-31,DTB3,1.39,5.515873015873015e-05
1955-06-01,DTB3,1.4,5.555555555555555e-05
1955-06-02,DTB3,1.36,5.3968253968253975e-05
1955-06-03,DTB3,1.32,5.238095238095238e-05
1955-06-06,DTB3,1.35,5.3571428571428575e-05
1955-06-07,DTB3,1.36,5.3968253968253975e-05
1955-06-08,DTB3,1.43,5.674603174603175e-05
1955-06-09,DTB3,1.44,5.714285714285714e-05
1955-06-10,DTB3,1.47,5.833333333333333e-05
1955-06-13,DTB3,1.47,5.833333333333333e-05
1955-06-14,DTB3,1.44,5.714285714285714e-05
1955-06-15,DTB3,1.49,5.9126984126984124e-05
1955-06-16,DTB3,1.5,5.9523809523809524e-05
1955-06-17,DTB3,1.45,5.7539682539682534e-05
1955-06-20,DTB3,1.41,5.595238095238095e-05
1955-06-21,DTB3,1.36,5.3968253968253975e-05
1955-06-22,DTB3,1.37,5.436507936507937e-05
1955-06-23,DTB3,1.37,5.436507936507937e-05
1955-06-24,DTB3,1.33,5.2777777777777784e-05
1955-06-27,DTB3,1.37,5.436507936507937e-05
1955-06-28,DTB3,1.4,5.555555555555555e-05
1955-06-29,DTB3,1.45,5.7539682539682534e-05
