DATE,TICKER,open,close,high,low,Volume,VWAP,CPct_LChg
2004-03-15,TLT,90.42,90.44,90.64,90.26,140100,90.399,0.21030501967786686
2004-03-16,TLT,90.32,91.15,91.15,90.05,487900,90.65,0.7819853714902945
2004-03-17,TLT,91.47,91.01,91.48,90.9,446700,91.158,-0.15371105354077755
2004-03-18,TLT,90.71,90.61,91.02,90.4,241900,90.829,-0.440480835529511
2004-03-19,TLT,90.47,90.37,90.6,90.21,175700,90.362,-0.2652228320104746
2004-03-22,TLT,90.66,90.93,90.98,90.6,400600,90.795,0.6177625823957155
2004-03-23,TLT,90.89,91.14,91.14,90.79,294300,90.969,0.23068060979148705
2004-03-24,TLT,91.16,91.09,91.23,90.92,225400,91.062,-0.05487570790179934
2004-03-25,TLT,90.72,90.73,90.94,90.65,262900,90.769,-0.3959965575180925
2004-03-26,TLT,90.55,89.78,90.58,89.61,787600,89.914,-1.0525829827751518
2004-03-29,TLT,89.05,89.17,89.23,88.92,668000,89.096,-0.6817573206997946
2004-03-30,TLT,89.3,89.15,89.43,89.07,275900,89.297,-0.02243158376386022
2004-03-31,TLT,89.25,89.55,89.63,89.21,825200,89.441,0.4476784197571329
2004-04-01,TLT,88.98,88.94,89.05,88.55,556700,88.746,-0.6835143424170352
2004-04-02,TLT,87.05,86.7,87.07,86.41,895100,86.833,-2.550810129605414
2004-04-05,TLT,86.32,86.03,86.39,85.91,628500,86.128,-0.7757811153239454
2004-04-06,TLT,86.4,86.5,86.5,86.2,510700,86.321,0.5448341304576931
2004-04-07,TLT,86.4,86.4,86.79,86.25,416400,86.538,-0.11567381278236441
2004-04-08,TLT,86.17,86.0,86.42,85.98,358800,86.137,-0.46403795565022254
2004-04-12,TLT,85.8,85.75,85.85,85.6,146700,85.727,-0.2911210207458442
2004-04-13,TLT,84.92,84.81,85.11,84.77,7517700,84.818,-1.1022625672440587
2004-04-14,TLT,84.07,84.75,84.76,84.01,742600,84.29,-0.07077141130490322
2004-04-15,TLT,84.67,84.24,84.8,84.19,584300,84.564,-0.6035878434839682
2004-04-16,TLT,84.68,84.63,84.87,84.42,677500,84.73,0.46189458562944585
2004-04-19,TLT,84.85,84.33,84.9,84.31,271000,84.717,-0.35511400954644096
2004-04-20,TLT,84.27,83.7,84.4,83.61,533500,84.076,-0.7498696091120508
2004-04-21,TLT,83.72,84.0,84.32,83.72,262400,83.976,0.3577821347883902
2004-04-22,TLT,84.33,84.5,85.39,84.15,181900,84.377,0.5934735519814527
2004-04-23,TLT,84.11,84.02,84.3,83.76,198300,83.941,-0.5696668621892198
2004-04-26,TLT,84.09,84.15,84.29,84.06,120500,84.206,0.1546054895579112
2004-04-27,TLT,84.43,84.5,84.55,84.08,200900,84.353,0.41506137263129933
2004-04-28,TLT,84.3,83.61,84.4,83.61,368700,83.976,-1.0588404201161623
2004-04-29,TLT,83.7,83.3,84.15,83.02,924700,83.471,-0.37145809891695214
2004-04-30,TLT,83.4,83.63,83.8,83.27,284500,83.657,0.3953758220637283
2004-05-03,TLT,83.1,83.37,83.57,83.1,430500,83.376,-0.31137749709121987
2004-05-04,TLT,83.63,82.84,83.9,82.84,638600,83.281,-0.6377495895138634
2004-05-05,TLT,83.25,82.56,83.26,82.5,981600,82.849,-0.3385734794130805
2004-05-06,TLT,82.56,82.4,82.65,82.37,539300,82.482,-0.19398648178265918
